n,correct,additions,multiplications,matrix_additions,matrix_multiplications,matrix_inversions,matrix_lu_factorizations,time
96,true,1094992,1144472,569554,1473636,1121,190,0.18438386917114258
97,true,1120925,1171043,581537,1502844,1129,192,0.1880970001220703
98,true,1156558,1207613,603288,1542752,1139,194,0.19356894493103027
99,true,1189371,1241326,620544,1579298,1151,196,0.2006700038909912
100,true,1234034,1287243,648987,1628806,1165,198,0.20688104629516602
101,true,1263637,1317639,663787,1661272,1177,200,0.21090102195739746
102,true,1304188,1359319,689436,1705544,1191,202,0.21614813804626465
103,true,1342095,1398341,710529,1746812,1207,204,0.22137904167175293
104,true,1393264,1451018,744024,1802288,1225,206,0.23086905479431152
105,true,1424087,1482600,759700,1835258,1237,208,0.23194503784179688
106,true,1466364,1525972,786875,1880326,1251,210,0.2403850555419922
107,true,1505387,1566062,808958,1921846,1267,212,0.3661501407623291
108,true,1558348,1620485,844233,1978018,1285,214,0.26529502868652344
109,true,1593501,1656588,863286,2015078,1301,216,0.25562286376953125
110,true,1641496,1705908,895045,2065530,1319,218,0.27534914016723633
111,true,1686465,1752199,921689,2112804,1339,220,0.2776939868927002
112,true,1746936,1814428,962878,2176188,1361,222,0.2784440517425537
113,true,1782367,1850640,982052,2212874,1373,224,0.2943589687347412
114,true,1830936,1900344,1014457,2263082,1387,226,0.2887289524078369
115,true,1875571,1946076,1040998,2309230,1403,228,0.29193615913391113
116,true,1936186,2008205,1082761,2371794,1421,230,0.301271915435791
117,true,1976231,2049220,1105638,2412982,1437,232,0.3080010414123535
118,true,2030948,2105302,1143085,2469186,1455,234,0.3118560314178467
119,true,2082017,2157725,1174689,2521724,1475,236,0.32027292251586914
120,true,2150788,2228310,1223012,2592360,1497,238,0.32869482040405273
121,true,2192025,2270473,1246775,2634456,1513,240,0.33286190032958984
122,true,2248450,2328217,1285790,2692020,1531,242,0.3391990661621094
123,true,2300451,2381510,1318282,2745182,1551,244,0.34445786476135254
124,true,2370864,2453675,1368339,2817094,1573,246,0.35477209091186523
125,true,2417495,2501461,1396473,2864676,1593,248,0.3597569465637207
126,true,2481000,2566557,1441336,2929432,1615,250,0.36661696434020996
127,true,2540431,2627581,1479747,2990216,1639,252,0.3755509853363037
128,true,2620160,2709408,1537370,3071668,1665,254,0.38445115089416504
129,true,2666327,2756408,1545754,3164502,1669,256,0.39548397064208984
