n,correct,additions,multiplications,inversions,lu_factorizations,execution_time
249,0.0,17906199,7784091,1706,496.0,1.4525452
250,0.0,17906364,7784147,1717,498.0,1.4623262
251,0.0,17906529,7784203,1728,500.0,1.4398731
252,0.0,17906734,7784273,1741,502.0,1.713359
253,0.0,17906899,7784329,1752,504.0,1.4569227
254,0.0,17907104,7784399,1765,506.0,1.4593434
255,0.0,17907309,7784469,1778,508.0,1.4500519
256,0.0,17907554,7784553,1793,510.0,1.4625954
257,0.0,59221955,27961353,1794,512.0,5.3891331
258,0.0,94771523,42373338,1797,514.0,8.2266106
259,0.0,99850000,44432178,1800,516.0,8.847159
260,0.0,113399173,49785176,1805,518.0,9.6182723
