n,determinant,correct,additions,multiplications,matrix_additions,matrix_multiplications,matrix_inversions,matrix_lu_factorizations,time
185,-3.138831897179762e70,true,33279359,6672941,19998556,7776583,2288,369,2.123850107192993
186,8.735968169727859e69,true,33294631,6673559,20000247,7777235,2306,371,2.123706102371216
187,6.8046079986505706e72,true,33297121,6674177,20001938,7777887,2324,373,2.120985984802246
188,8.983170798628365e71,true,33302060,6674965,20004101,7778721,2346,375,2.122163772583008
189,2.75753411376688e74,true,33309636,6675583,20005792,7779373,2364,377,2.1238272190093994
190,-2.3312459339328867e73,true,33312841,6676371,20007955,7780207,2386,379,2.1229400634765625
191,6.108590822168532e72,true,33315952,6677159,20010118,7781041,2408,381,2.1202030181884766
192,4.2593994065710616e74,true,33319820,6678117,20012753,7782057,2434,383,2.1173110008239746
193,-6.9684085898484406e75,true,34763143,6678135,20012758,7782058,2440,385,2.112499952316284
194,-1.668778121580566e76,true,35787067,6678179,20012803,7782073,2450,387,2.105602979660034
195,1.287399267803981e76,true,35930155,6678223,20012848,7782088,2460,389,2.1068670749664307
196,-3.2226418968975433e77,true,36304956,6678293,20012933,7782117,2474,391,2.096959114074707
197,-1.0893376760871202e76,true,36329414,6678337,20012978,7782132,2484,393,2.1104989051818848
198,6.289197981108361e78,true,36380189,6678407,20013063,7782161,2498,395,2.098930835723877
199,2.5697019979629776e78,true,36430866,6678477,20013148,7782190,2512,397,2.0898618698120117
200,-1.557515801891488e80,true,36513204,6678573,20013273,7782233,2530,399,2.1002309322357178
201,2.3155983529686332e80,true,36543044,6678617,20013318,7782248,2540,401,2.1047730445861816
202,2.6252643825433955e80,true,36563151,6678687,20013403,7782277,2554,403,2.245551824569702
203,5.9847507603318674e81,true,36569388,6678757,20013488,7782306,2568,405,2.1171958446502686
204,-5.063002905609307e81,true,36581442,6678853,20013613,7782349,2586,407,2.107753038406372
205,-7.867192730828869e81,true,36593193,6678923,20013698,7782378,2600,409,2.1084251403808594
206,7.124911851942856e83,true,36603365,6679019,20013823,7782421,2618,411,2.118349075317383
207,-1.8301400229984476e84,true,36613435,6679115,20013948,7782464,2636,413,2.10379695892334
208,1.2612889900490363e85,true,36627486,6679237,20014113,7782521,2658,415,2.113793134689331
209,5.261446981612307e85,true,36739624,6679281,20014158,7782536,2668,417,2.1046547889709473
210,-1.2246735626827686e87,true,36813219,6679351,20014243,7782565,2682,419,2.1142070293426514
211,-1.5457572604702687e86,true,36821370,6679421,20014328,7782594,2696,421,2.1027820110321045
212,1.0509543951002583e87,true,36844562,6679517,20014453,7782637,2714,423,2.110895872116089
213,9.950887243616843e87,true,36851151,6679587,20014538,7782666,2728,425,2.1050758361816406
214,-2.7104619576396234e87,true,36853433,6679683,20014663,7782709,2746,427,2.1069459915161133
215,-1.2042144196976664e88,true,36855609,6679779,20014788,7782752,2764,429,2.102294921875
216,-8.510234300096774e90,true,36859254,6679901,20014953,7782809,2786,431,2.1067981719970703
217,-2.570462086605899e90,true,36889691,6679971,20015038,7782838,2800,433,2.1082661151885986
218,-9.683698071450296e90,true,36905835,6680067,20015163,7782881,2818,435,2.118591070175171
219,3.1977066390235822e91,true,36907021,6680163,20015288,7782924,2836,437,2.1032469272613525
220,-4.005122552721811e92,true,36910688,6680285,20015453,7782981,2858,439,2.101633071899414
221,-6.276185179779801e92,true,36917816,6680381,20015578,7783024,2876,441,2.256112813949585
222,1.0028382516921166e94,true,36919453,6680503,20015743,7783081,2898,443,2.11405611038208
223,-3.7954452696295985e94,true,36920980,6680625,20015908,7783138,2920,445,2.1055541038513184
224,-3.243778085441822e93,true,36923008,6680773,20016113,7783209,2946,447,2.110342025756836
225,5.778079858197192e95,true,37367486,6680817,20016158,7783224,2956,449,2.1102328300476074
226,-1.9403613330022048e96,true,37677119,6680887,20016243,7783253,2970,451,2.1124250888824463
227,-8.566430753690243e96,true,37717990,6680957,20016328,7783282,2984,453,2.1106858253479004
228,-1.6002107812835567e96,true,37827126,6681053,20016453,7783325,3002,455,2.1127970218658447
229,-2.735315944217535e98,true,37837973,6681123,20016538,7783354,3016,457,2.108520984649658
230,-1.1545445162624257e99,true,37850937,6681219,20016663,7783397,3034,459,2.109637975692749
231,-1.9792666737488716e98,true,37863787,6681315,20016788,7783440,3052,461,2.1050078868865967
232,-2.3902027162134516e100,true,37884962,6681437,20016953,7783497,3074,463,2.109990119934082
233,2.254230823059559e101,true,37917333,6681507,20017038,7783526,3088,465,2.1053390502929688
234,2.9367905215100016e101,true,37934635,6681603,20017163,7783569,3106,467,2.107980966567993
235,-2.824780756944089e102,true,37935891,6681699,20017288,7783612,3124,469,2.107185125350952
236,3.7580240428864856e101,true,37940076,6681821,20017453,7783669,3146,471,2.1044459342956543
237,3.9506626284044716e103,true,37947702,6681917,20017578,7783712,3164,473,2.113400936126709
238,4.367461965164647e102,true,37949709,6682039,20017743,7783769,3186,475,2.304753065109253
239,4.672427825340515e103,true,37951598,6682161,20017908,7783826,3208,477,2.1128180027008057
240,1.234758829472494e104,true,37954292,6682309,20018113,7783897,3234,479,2.1113109588623047
241,3.708109603049144e105,true,38083161,6682379,20018198,7783926,3248,481,2.112942934036255
242,2.9309501332197885e105,true,38167431,6682475,20018323,7783969,3266,483,2.1080901622772217
