eigval index,gamma=1,gamma=2,gamma=3,gamma=4
1.0,0.023146033586469113,0.020311121637994246,0.01695363218252368,0.01650862116456418
21.0,0.012298795214710233,0.010423648124380722,0.01184091232619425,0.012437668188969962
41.0,0.010118916926512431,0.012783955311766489,0.013433269263209573,0.01578694772794554
61.0,0.010739890015200568,0.013385297394615388,0.015544176875805837,0.017406540758934195
81.0,0.011342006874719384,0.014833854245395904,0.017156448238212333,0.019956290921510408
101.0,0.01226782896396083,0.016434913928818025,0.019394129166622535,0.022561850100075262
121.0,0.013687704044779665,0.01832522049085758,0.021196930547488547,0.026114023098654796
141.0,0.015153600159230942,0.020302470845787606,0.02386456123529706,0.027979378428395665
161.0,0.016470078005246573,0.022594629016847872,0.0276579306880617,0.031143240094548264
181.0,0.018027392372718873,0.026088681470759652,0.030935800225416154,0.03424376714865974
201.0,0.020003716463356663,0.028416282538903995,0.033406201008789396,0.037901779910757806
221.0,0.022330322568189526,0.03189463104127235,0.036357468493606424,0.04112959707184863
241.0,0.02539554780405631,0.03519502238438851,0.03979958837806795,0.045573694583219256
261.0,0.02772281379000531,0.038328952659420074,0.043656215381498234,0.049966183506614005
281.0,0.0316874298141913,0.04336093575059049,0.04760562499100311,0.0549466763892271
301.0,0.03537543369710085,0.047024826325521726,0.05238645464411286,0.05870800736941701
321.0,0.03852905972934082,0.051554418086377646,0.05723829969666803,0.06314515562772462
341.0,0.0431020825725573,0.056174239068478675,0.06341326176836912,0.06775736722191075
361.0,0.046701818978587835,0.06031002317803352,0.06876922650516146,0.073638962264645
381.0,0.05082369467685048,0.0648818727374376,0.07354641587336497,0.08021302956464536
401.0,0.05357374314075768,0.06966263071891345,0.07765078400224665,0.08614685591335336
421.0,0.05717954012839822,0.07389890083305636,0.08207237794611892,0.09103407324953669
441.0,0.06179689441399419,0.07930076281822768,0.08516912785298043,0.0954155716178953
461.0,0.06541012433161476,0.08316698276304255,0.08860467875067964,0.10121530497589287
481.0,0.0685459750526467,0.08840046641327076,0.09339767282203322,0.10454880768965451
501.0,0.07234132877029871,0.09256608430078431,0.09801185590683446,0.10873761318770578
521.0,0.07751870709885586,0.09720136913859756,0.1027624554035389,0.11267085809382661
541.0,0.0810155319255624,0.10131524544883386,0.10753737975692533,0.11754054207551452
561.0,0.08579336823748573,0.10598037774828123,0.11408369775440985,0.12222939988283062
581.0,0.09108063767998603,0.1113843292078329,0.12052333537948913,0.1278928273224817
601.0,0.09863829239367403,0.1195263378538305,0.12879485615039357,0.13498583491025168
621.0,0.1124381726441303,0.13405168091770758,0.1461433957060599,0.15813297047648903
